6214	gal0	gal5	gal10	gal15	gal20	gal30	gal45	gal60	gal90	gal120	gal240	gal480	gal720	gal960	gal1200	gal1440	glu0	glu5	glu10	glu15	glu20	glu225	glu25	glu30	glu60	glu120	glu240	glu360	glu480	glu600	glu720
Q0010	-0.060616988	0.091121299	-0.20578887	-0.360219019	-0.134957572	-0.040198357	0.518044716	-0.032370877	0.263899041	0.02185271	-0.401268097	-0.423383823	-0.723168229	-0.501743849	-0.365216038	-0.571705385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0017	-0.244082209	-0.221040193	-0.127506838	-0.054669889	0.098783023	0.003973201	0.08602643	0.141963304	0.083236135	-0.019342689	-0.236923142	0.089558424	0.14652506	0.072216114	0.007927768	-0.060500361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0032	-0.594458799	-0.545121511	-0.757930468	-0.623615599	-0.476505651	-0.328275186	-0.435710945	-0.51728427	-0.551312755	-0.498937698	-0.454837649	1.054892747	1.053739674	1.039381353	0.582906747	0.182130619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0045	0.247699614	0.161047717	0.195691664	0.116392332	0.352270687	0.358780871	0.136690444	0.296740676	-0.112953603	0.103648487	-0.691912709	-0.64083618	-0.964199575	-0.873778756	-0.502053266	-0.515648098	0.459632313	0.315185345	0.434069271	0.177795517	0.448576859	0.355075398	0.377881984	0.096131636	-0.002959805	-0.955954991	-1.50276476	-2.208048415	-1.948899854	-2.072369896	-1.567704485
Q0050	0.023196789	0.075424703	-0.355392424	-0.353530401	-0.096189222	0.138956599	-0.182482924	0.013090343	-0.68707518	-0.263183823	-0.943744058	-0.322904765	-1.008627359	-0.70729356	-0.537748407	-0.169020967	0.281254836	0.408455409	0.711182366	0.805926211	0.792498375	0.742478643	0.554959432	0.484556046	0.531239649	-0.07289624	-1.041068253	-0.928347525	-0.901230929	-0.511952428	-0.62335341
Q0055	-0.139206416	-0.320436419	-0.140287237	-0.147630458	0.070848442	-0.007150515	0.048306279	0.0766337	-0.825604531	0.081662738	-0.383976234	-0.333217902	-0.326938634	-0.452247213	-0.397991696	-0.056187941	0.026958668	0.360452117	0.41284218	0.418449736	0.698723161	0.569429663	0.451130295	0.451537513	0.379098435	-0.208672138	-0.713959686	-1.213287823	-0.65734638	-1.493490007	-0.628110704
Q0060	0.114822297	0.102089018	0.198248362	0.136439246	0.203716761	0.182863307	0.129522954	0.080653084	-0.674226851	0.055882289	0.05479622	-0.072986144	-0.317590394	-0.189716695	-0.273681235	-0.036916844	0.124908487	0.600780719	0.5626147	0.94448702	0.682970989	0.641183924	0.59477906	0.465535348	0.495875044	0.191343218	-0.573521726	0.255878074	0.21138786	0.445701778	0.270661223
Q0065	-0.004741845	0.062512934	0.159674347	0.081597421	0.196497092	0.160095908	0.091686358	0.012910066	-0.495548201	-0.179981973	-0.485079799	-0.707115337	-0.641622503	-0.562139605	-0.368756651	-0.128954876	0.457737852	0.708950805	0.67498698	0.667209182	0.758428716	0.75266306	0.784742227	0.498022152	0.617386335	-0.078429063	-0.688265353	-1.35395375	-0.990723095	-1.356317628	-0.95000198
Q0070	-0.083756541	-0.165574395	0.328897925	0.162681493	0.220319353	0.235757096	0.202136463	0.03622226	-0.10980323	-0.298921102	-0.132595912	-0.287419917	-0.471234347	-0.184374982	0.024910232	0.108375811	0.4883216	0.757470307	0.825786818	1.126292376	0.770533575	1.003129498	0.995817809	0.40254849	0.730307733	0.210071402	-0.422549747	-0.689211522	-0.495487095	-0.649328441	-0.360673138
Q0075	-0.282525442	-0.225413828	-0.415691896	-0.396743843	-0.203813779	-0.051701248	-0.181505826	-0.05488484	-0.648076101	-0.052402276	-0.142856069	-0.143676817	-0.685279134	-0.592078174	-0.529526385	-0.193643848	0.023927438	0.088508981	0.163605416	0.178227342	0.334465805	0.314479565	0.439290647	0.190903245	0.404992787	-0.154218549	-0.544057895	-0.626210617	-0.646022415	-1.024350537	-0.366489952
