A	B	C	D	E	F	G
1.113082913	1.932163928	7.074805858	8.660411459	0.881591169	24.71950142	9.216381507
-0.247948151	11.33434292	24.34737157	23.35543212	7.040113242	36.81299645	3.678833044
1.854508376	3.032020122	11.08647349	11.05589057	3.834530243	22.01718155	2.424513357
0.833910878	3.857970126	11.22477498	11.93747102	1.005624231	23.28564265	6.08547284
0.488613707	4.512613097	10.0004764	12.53717946	4.084745782	24.5375963	5.117575201
1.649557805	0.85081688	6.85705964	7.094566464	6.510842048	27.6988351	7.69189166
1.356892134	1.906030855	8.547540191	8.777001362	7.010385997	24.88071456	4.376690771
0.791675469	-1.256697567	-0.06165925	4.000862513	5.974849682	17.20238689	3.767514789
1.89557011	5.072360644	15.08856806	14.04499373	5.841117921	30.26592227	3.557995696
0.634455428	1.392497932	6.506908108	8.036430598	2.613383634	19.82202963	4.251456005
0.250743057	2.396157058	6.910919435	9.528518801	2.989272669	17.35312167	3.534487654
2.153539789	-2.016564995	1.718970214	3.14577581	5.731468359	25.48950634	7.908681993
0.103575368	-1.148962813	1.121502968	4.114136757	7.881807924	16.18040784	2.586223491
0.451321699	1.039135531	5.064148764	6.855011523	5.359736182	18.00703576	3.663200977
1.607770604	7.345329352	19.34525968	16.62892546	5.51087958	34.41274058	5.429015755
0.259043203	5.478167332	13.29807941	13.75593259	3.339063413	26.37644607	6.171646542
0.374357672	3.527317728	9.771023066	11.17790237	3.616518611	28.77029286	7.568804601
0.148231566	3.174765257	8.67246	10.59004345	1.523497735	24.07022376	5.614269386
1.650167643	3.231052255	11.75962175	10.61051922	2.03426264	16.72663145	0.646159107
2.101076682	1.179767085	8.917192584	7.587955348	0.858265667	20.33437168	5.757527624
0.631036766	3.131571235	9.966086988	9.881127623	7.143628054	24.85246352	5.254875427
1.088992249	1.14532156	6.231466835	7.795524623	4.117867379	17.01300093	1.552816489
1.037202311	3.496904423	11.73526159	11.3205239	4.325098416	19.55924452	1.537565598
2.216109513	2.065290543	10.2093981	9.438935902	0.950603047	21.37761859	5.211361256
0.301438799	-0.086736274	2.314399825	5.697934144	1.830204666	18.48847053	7.263283942
0.446415501	4.761898399	12.52144239	12.96707394	6.019021489	25.6801741	2.448974761
0.855413533	3.58336318	11.16938471	11.72476318	4.957793572	18.98813367	0.009487665
0.328754066	-0.183668905	1.74770177	5.773233611	9.158657761	22.14651015	4.997310404
0.609871667	-1.029190143	1.444699567	4.793420467	7.420795097	22.63268726	6.227728432
1.425417195	0.48052331	6.068923441	7.020402987	5.159293642	24.16633157	5.256948539
1.449644785	2.431992919	9.442482301	10.35488185	2.361146134	21.4263706	3.84788238
1.844395882	2.410853709	10.82575605	9.531532126	5.393759291	30.88679307	7.661208929
0.883711673	5.260818626	14.7131378	13.62802149	2.097677312	20.67207962	1.682020964
1.945290951	2.760459357	11.54283503	10.29740537	0.414443111	28.36749661	9.741652028
0.335644842	-3.599018509	-3.982051597	1.127446771	1.40008098	9.120529809	3.518582267
1.028321752	6.243373307	16.57739905	15.78798025	4.334570528	25.98453536	2.739298684
0.719724441	0.406253866	3.824572385	6.450966713	1.706108173	15.0226272	3.056960124
1.267207824	1.299521877	7.485082511	8.262027681	6.186019708	22.97013625	5.152594755
0.402854434	2.962815228	9.19038216	10.35592554	5.01924472	28.86544796	7.979120975
1.596491787	5.3979953	16.37247803	13.57123991	4.803372343	26.15630021	4.064312566
0.585567861	2.16516948	6.959314183	9.304635314	8.699429918	27.77533316	6.587109951
1.291977203	1.958009932	7.647240211	8.997121575	5.543599917	23.67955193	3.967846248
0.761334948	-1.05307599	0.521067366	4.5166252	2.545001235	21.01844414	9.129440923
0.616168535	1.485202354	6.489488142	8.051328058	4.901772855	22.18750489	5.230310916
0.88754713	-2.789329476	-2.326256477	2.120765235	4.058175339	13.93823708	4.107095404
0.51386638	-1.343111379	0.615883045	3.507799411	3.651909599	19.5984653	8.131044917
1.185386382	2.872361003	9.780363094	10.28368672	4.045548745	25.45896436	5.480103362
0.133241806	3.161709593	8.97490998	11.01058192	2.558327628	18.18686722	2.032640382
1.340207972	5.873956189	15.71264515	14.52664569	2.108128523	28.32986499	4.931182048
-0.665114322	3.416944472	7.957428012	10.95302773	2.068209845	15.89654048	3.536113278
1.894809038	2.998957784	11.61602389	10.60338342	3.237197198	22.71122477	3.484606052
-1.136518746	-0.957657019	-2.18773551	4.85353028	4.694446266	14.44462576	5.317642881
2.466190524	3.19056426	14.02385884	11.39303708	3.723115381	25.76189654	4.293908937
0.768106584	4.109724523	11.24739615	12.25045726	3.068060618	20.31879109	2.361596017
-0.963396975	1.07861301	1.686255735	7.056065003	2.486605908	15.0069549	4.374487464
-0.000720467	1.639250162	5.231227225	8.677842404	6.068763129	20.97682941	4.626146633
-0.017021175	-3.456750219	-5.378051014	0.566913241	4.312846584	9.353032262	3.19565171
0.617801964	-0.017850127	3.001229697	5.828009885	4.803166452	22.55266642	7.201419947
2.187969742	-2.687929873	0.894944098	1.842886836	6.608275699	19.55742992	4.924882461
1.757017746	3.295749924	12.94521034	10.976724	2.821492982	27.72811635	7.167440926
0.165178632	1.845270335	6.241535468	9.066711125	5.702897551	31.59131878	10.73890128
2.013924842	-2.95234656	0.343580674	1.115155177	5.299324644	19.32050116	5.226696441
0.61261652	-0.93494462	1.626447657	4.043188406	4.042221774	9.78869181	1.503255622
1.216354316	6.846483785	17.47154198	16.03375384	1.029057813	24.85460868	4.397666289
0.449910232	3.729810206	10.88412712	11.46223413	1.812045042	21.22595307	5.15019172
0.102044349	1.128909653	4.059681459	7.691744651	5.627148953	20.33387717	4.568467092
1.920055066	1.387718826	9.529078996	8.712880843	4.539077328	21.9084372	1.712141511
-0.078419417	1.099832166	3.998776458	8.296497647	2.434924187	21.04425383	6.470097858
0.132606151	12.17521429	27.03187847	24.41037229	0.736649604	31.06979857	3.771608204
1.527900693	-0.995663507	3.944749216	4.307555949	1.224991931	17.7535126	5.745772317
0.933796673	4.011897526	11.79888441	11.81768849	5.184177703	27.24158868	3.513251025
1.487136034	2.170535198	10.48536308	9.603268298	4.946351083	27.42621489	6.833839975
1.770272673	-0.286842616	5.007793636	5.657450881	3.11306883	18.50269496	3.901042246
0.18065261	8.259403735	19.46199799	18.94644777	-0.166225251	26.35920221	3.808116353
1.733009145	-1.497827778	2.710002791	3.980272696	0.845872186	18.86578134	7.170098015
0.696387939	6.67100903	16.59987711	15.92394005	3.565739998	31.78851493	6.985245003
-1.057386502	1.726473802	3.25389886	8.362240196	2.534308509	21.11920652	8.20055168
0.634460056	-6.356700996	-9.478181992	-3.004082467	6.674227948	13.88971336	5.583250816
0.36522674	0.498515243	3.884143506	6.526794358	3.306659868	20.05045663	6.250703785
-0.115126168	-0.404255981	1.289863208	5.624748522	4.913016926	14.09388648	2.956895133
0.835960312	5.264440115	14.2630529	13.97998691	5.037611687	29.96154642	6.343954573
0.383148689	0.855068293	3.716751362	7.254544482	4.296524256	17.53376143	3.906022319
2.543679975	-1.262695758	4.458772108	4.295722221	4.303541254	18.75718247	2.448650613
2.213298411	5.492094509	17.93933584	14.32255942	2.068253592	33.41387324	7.217039177
1.818105642	-3.341225486	-0.662761694	1.136656033	2.882867875	16.37855274	6.474268245
2.198146695	-3.138327119	-0.295644108	0.925417434	-1.418929157	11.6488731	4.738529673
1.260247935	5.64843332	16.22095296	14.64546571	2.672403798	28.85083795	4.86633105
1.574462033	2.362842635	9.474153056	9.689246642	3.938993611	27.0352143	7.141377343
1.786511448	-5.030383336	-4.827304476	-2.154310784	3.022300258	7.867650756	3.321954987
0.783595431	-1.21539207	1.694455337	4.868448819	3.167614807	21.70534101	8.178590952
1.733654104	0.698324358	6.356192933	7.233996675	2.480165419	15.90648693	1.110766299
-0.161688441	2.361169427	7.034672691	8.938516543	2.691583731	17.46834742	3.285454208
1.243950664	8.057711625	20.72097142	18.15200779	4.123030543	34.39533547	4.825182344
0.12559777	0.097276332	1.745165061	6.063277952	2.547172275	18.8829233	5.267448978
0.565194857	2.225580942	8.038509931	9.120594218	4.468370823	23.96118897	5.785913319
2.638331625	4.076502587	14.77813908	12.75562089	0.840716257	27.31327575	4.714888634
0.971957094	3.732502436	10.95408075	11.59426584	4.098157208	25.87456351	5.304886429
0.876938302	-1.048247349	1.944057066	4.322113029	3.450985478	13.06843902	2.99901106
0.708240378	1.920447616	8.132683445	8.993123024	6.860874257	30.47136285	8.090340141
0.604366817	0.483470945	4.796200725	6.452873891	4.626462265	14.7192407	1.599365143
1.838938138	3.910598943	13.84297518	12.24052979	3.665840991	30.56892937	6.336193832
0.322001235	1.429460483	6.000249929	8.263799493	3.243691614	14.9450365	2.801811312
2.951889252	-0.880181656	6.008288205	4.61404475	5.006909338	22.5312561	5.096755587
3.500230829	3.777222443	15.96341674	11.06274174	4.119048308	30.27479781	6.389894935
1.782732605	0.38878847	6.323939184	6.475121321	3.953086606	28.06598173	8.777954979
2.081708073	4.64745551	15.50683253	12.36526028	4.639957684	27.63058277	3.598332045
0.425803308	-0.574676206	1.699648994	5.140274939	6.061848082	16.09483393	3.229413239
0.293115656	3.984720398	10.65209442	12.57556742	3.76920395	22.3564158	2.104647633
0.17252343	-2.470893867	-2.771364852	2.557592661	3.169971531	11.00370459	2.5444206
1.503961904	1.69715718	7.940878553	8.562280535	5.210738157	22.48349733	2.711713492
1.469837356	0.999247418	7.222070395	7.383535401	2.055421912	19.36008179	3.212348129
0.586120828	3.298271484	9.810760095	10.74911628	1.270191602	17.13640342	2.426186199
1.089193624	5.364000946	15.73493577	14.14928431	3.195531902	28.27906775	5.732940433
1.0143148	0.475038473	4.976345252	6.428746505	3.738982863	16.28096756	1.906143348
1.783374486	0.739886004	5.995785198	6.812000879	2.57410327	25.50904261	8.1292432
1.139982009	1.289868651	6.731146855	7.750616124	3.522213752	20.15002602	4.767121959
-0.72742671	2.24994255	6.104991157	9.408428979	4.796279332	24.65331656	9.073736183
0.628582557	0.684739628	4.940836454	6.46132341	2.361670965	15.55584939	4.835619371
-0.90197302	7.966062067	14.77698916	17.96881863	2.531150092	30.74864601	7.974080345
0.113043573	5.719197318	14.04522417	13.78159013	3.690762039	25.24324402	4.815727925
0.959438478	-2.324899233	-0.394313322	2.624504775	4.626884226	19.73522887	7.125150171
0.773018648	11.04551358	24.81773644	23.08745637	3.730634218	36.7700185	5.42564386
2.269549748	8.286356092	22.11384599	18.62652771	4.401989942	36.46549344	6.304367733
-0.118144875	-5.860159161	-10.98812395	-2.43926247	3.683178306	10.56549478	6.682565272
-0.36809916	3.779083606	8.639589183	11.69131499	1.288134161	17.93459182	4.018096417
0.35024617	1.179162871	4.997106222	7.573692432	1.18123679	16.94140148	4.096977165
0.469114272	3.687110179	11.06911065	11.14638479	2.784563993	23.85542436	5.869299899
0.294651132	0.200752788	3.146668123	6.226788597	-0.159554326	13.66953407	4.471782001
1.715803679	4.697237141	15.08739381	13.20406839	5.134432847	27.61494094	3.557565458
2.144103553	2.434785133	10.42411385	9.942141435	4.536940695	25.63072703	4.963365399
0.579669413	1.989076721	7.088596331	8.892154444	5.009021941	24.78683992	5.339453939
0.866167512	2.002698962	7.53246414	9.219412519	0.839880097	21.76935156	6.172183418
1.443254724	2.526600704	9.62136173	9.93197501	4.312730407	27.39480092	6.77196693
3.000114521	5.677259143	19.61659137	13.90710134	1.239954636	29.66208122	6.118411652
0.679659304	3.445049841	10.84345123	11.61441147	0.393095599	21.34693699	4.972844134
1.101630857	4.320228332	13.25710665	11.71968165	3.974951502	22.27222553	3.674782421
-0.028886472	-2.729422956	-3.286566073	2.006394843	8.587722714	21.82009802	7.572472458
0.463940392	1.414998678	4.468296742	7.893814161	4.434617773	19.16306718	3.887488652
-0.099218669	0.070473017	1.182448631	5.738094425	2.420313732	16.05455388	5.027828306
1.720873989	-0.466840441	4.249991395	5.191745625	1.861206417	17.40740418	4.740566966
2.693999566	1.518589607	10.09871382	7.776262695	5.373624849	26.99887727	5.824270608
0.159706912	3.764956557	10.83964864	11.54691182	3.152551758	21.36117988	4.470936868
-0.5841167	-1.79079861	-3.218321347	3.275050802	6.095660553	22.39025207	8.894526363
1.078917261	0.188438127	3.74709019	6.17280922	2.018729702	18.8404015	6.483732923
-0.329014838	-0.727235501	-0.43816707	4.333618756	4.910885777	17.57947601	6.349428898
2.864311267	4.163221345	16.04385761	12.20881812	6.467537553	32.68475919	4.587673154
1.462362524	4.75274466	13.93457902	13.06185881	3.145498095	27.85081144	5.44383228
-0.276494913	-0.023239541	2.294793941	5.90291832	6.415309791	16.10849391	2.71803263
2.29877368	-5.220939448	-3.727032888	-2.013573709	0.816149824	13.83767745	7.339071398
1.673168809	1.091515814	8.016879068	7.710324129	5.377678685	21.07279259	4.224445127
2.344037784	1.304931682	9.795187758	8.005764345	-0.025029251	22.94234177	6.143259215
-0.29205769	5.379067913	11.69107828	13.62313476	4.659840968	20.99360986	2.230575252
0.717789019	-5.553076682	-6.953951664	-2.165061929	-1.457075911	3.909377412	5.211863014
0.662609161	1.867171042	7.205369603	8.313435292	5.837961058	22.86956265	4.908805734
1.163277042	6.379197465	17.37628773	15.83452328	-0.443098771	24.37938839	4.422857809
1.288343629	-3.573449457	-2.611253553	0.244435364	3.712674288	15.33625434	5.600069787
1.680461247	0.602292869	6.585051337	7.194721523	5.303642551	26.80908493	7.251605585
2.367730733	3.3421818	13.55187292	11.04738332	1.006700099	25.1231306	5.009351681
1.984923651	-0.486216729	4.897521519	5.041757321	5.105148686	20.59281125	4.552415258
1.063968324	-1.459807839	1.229256879	3.995718929	7.356283051	21.58788769	5.918286914
1.450138542	2.941683061	9.900215082	10.69670811	6.039527797	30.56533152	6.583431796
-0.070764817	1.558118561	3.84132644	8.929356844	4.384767222	22.3842792	5.913958558
-0.871029941	-2.710745718	-5.359042289	1.877649195	2.20930309	13.96047631	8.170205085
2.902496717	6.6861901	22.04877238	15.85945293	1.712149984	32.88880975	6.792898207
0.638925023	3.666340024	11.37359259	11.15106024	5.332895548	29.20913745	6.409981601
1.406076078	-0.450608895	4.093156305	5.685484683	6.011766096	23.0422303	6.204267535
0.146943084	-1.312667995	-1.228363617	4.051818685	-1.096289809	13.68041739	5.167593463
1.44425402	3.199491524	11.73636631	10.70959065	5.436366796	23.99546583	2.83065855
0.168785152	0.327921897	2.232253732	6.155525848	1.477643908	9.058237159	-0.519368562
0.482776947	-5.333466243	-8.459114425	-2.311181903	3.498058494	9.852751571	5.409985897
3.912096522	5.000324774	19.52614593	13.31373543	0.280755621	32.51754206	7.369903746
1.420670099	-2.313644721	0.259039168	2.439193279	3.159649097	17.77717087	6.182461793
1.211001037	2.203422857	8.986535985	9.251051912	4.311063375	16.46047547	0.180436363
1.317920667	2.742026944	9.434689686	10.31064196	5.153195109	25.47244732	4.663681632
0.199948843	2.086277433	6.435335641	9.370139928	-1.543430783	15.68252708	4.891390725
0.476266444	-0.598642488	0.859625439	5.616900706	4.601598564	20.06671204	5.894293732
1.769396763	5.425536249	16.52800632	14.05596217	2.480533253	30.26258338	7.739949502
2.181083486	-0.47722052	4.801464957	4.848170806	2.487424152	19.32011263	4.615826022
1.490596149	-0.598841297	3.342179775	4.779745767	5.363325579	20.88020103	5.041724305
-0.58459059	2.707651345	6.290292226	10.61105076	1.739387119	17.43169008	5.405124816
2.004539837	0.500562627	6.737653138	6.340105703	1.760427398	20.1640146	4.965169816
0.783440895	0.653227707	4.295976245	6.607443189	5.716682189	21.57956593	6.443362399
0.98554439	2.199238678	8.554059441	9.033439938	3.305441082	22.20266906	4.7723321
0.39384482	7.48747215	17.38868856	17.26295494	3.658916007	26.951901	4.024614453
1.376191676	5.020604954	14.43427172	13.57532652	1.723860538	28.54819074	7.213823594
1.042597922	-0.899826085	2.32509469	4.492172286	3.506243694	17.58421008	6.639673123
-0.047819822	3.919189185	9.482466243	11.8216424	0.092688851	17.23377019	3.224282498
0.494392444	-0.548344506	2.236503865	4.7801027	3.69222449	15.82083588	4.474050149
0.42043966	7.657447666	18.63925465	17.19002419	4.670839693	33.76432022	6.619409891
1.216549682	-2.458379923	-0.635469183	2.673180459	3.92752316	20.68752151	7.603234807
0.851618714	2.993383852	10.07207365	9.881869775	2.429291147	19.99547842	3.881835635
0.948597367	1.560665462	6.889652356	8.314199807	2.608521303	17.70509913	3.741061375
2.234062302	3.768513072	13.87257676	12.08061581	2.000245175	26.71380141	5.659184687
-0.080040194	-2.957207556	-4.228270358	1.551542059	5.044846101	12.91533444	4.867291059
0.682460438	4.208448876	12.9164498	12.57654835	3.068217739	24.62012876	5.168825471
0.731152261	-3.710322388	-3.999161741	0.610277802	4.581115658	14.89125536	4.757379281
2.136145468	0.917393037	6.76240533	7.166370024	2.85702038	20.75358072	4.144969473
1.810458685	-1.066692884	2.676569782	4.190087457	1.608393349	17.25265539	5.258207932
0.375393705	1.95618318	6.728946471	8.923887138	5.221186918	22.85722616	5.167155516
1.261686643	0.571503273	4.696258809	6.734250519	4.729272079	25.11324453	7.404312715
1.785122768	4.308370674	13.42038713	12.01620895	1.068618171	20.83733201	2.77652682
1.099397448	5.809675189	15.99484118	15.2061383	2.228554335	24.48897182	1.401741982
-1.044270879	3.918017048	8.052105233	12.31951094	4.090237512	20.09043399	4.202413528
1.631572507	-1.407895077	2.074502057	4.115444283	6.227082221	13.48372738	0.414597798
